Archivo,Calidad,Tiempo
100-300-001.txt.salida_0,0,5
100-300-002.txt.salida_0,0,5
100-300-003.txt.salida_0,0,2
100-300-004.txt.salida_0,0,2
100-300-005.txt.salida_0,0,2
100-300-006.txt.salida_0,0,2
100-300-007.txt.salida_0,0,2
100-300-008.txt.salida_0,0,2
100-300-009.txt.salida_0,0,2
100-300-010.txt.salida_0,0,2
100-300-011.txt.salida_0,0,2
100-300-012.txt.salida_0,0,3
100-300-013.txt.salida_0,0,2
100-300-014.txt.salida_0,0,2
100-300-015.txt.salida_0,0,2
100-300-016.txt.salida_0,0,2
100-300-017.txt.salida_0,0,2
100-300-018.txt.salida_0,0,2
100-300-019.txt.salida_0,0,2
100-300-020.txt.salida_0,0,2
100-300-021.txt.salida_0,0,2
100-300-022.txt.salida_0,0,2
100-300-023.txt.salida_0,0,2
100-300-024.txt.salida_0,0,3
100-300-025.txt.salida_0,0,2
100-300-026.txt.salida_0,0,2
100-300-027.txt.salida_0,0,2
100-300-028.txt.salida_0,0,2
100-300-029.txt.salida_0,0,2
100-300-030.txt.salida_0,0,2
100-300-031.txt.salida_0,0,2
100-300-032.txt.salida_0,0,3
100-300-033.txt.salida_0,0,2
100-300-034.txt.salida_0,0,3
100-300-035.txt.salida_0,0,2
100-300-036.txt.salida_0,0,2
100-300-037.txt.salida_0,0,2
100-300-038.txt.salida_0,0,2
100-300-039.txt.salida_0,0,2
100-300-040.txt.salida_0,0,3
100-300-041.txt.salida_0,0,4
100-300-042.txt.salida_0,0,3
100-300-043.txt.salida_0,0,5
100-300-044.txt.salida_0,0,5
100-300-045.txt.salida_0,0,2
100-300-046.txt.salida_0,0,2
100-300-047.txt.salida_0,0,3
100-300-048.txt.salida_0,0,3
100-300-049.txt.salida_0,0,3
100-300-050.txt.salida_0,0,2
100-300-051.txt.salida_0,0,5
100-300-052.txt.salida_0,0,2
100-300-053.txt.salida_0,0,2
100-300-054.txt.salida_0,0,2
100-300-055.txt.salida_0,0,2
100-300-056.txt.salida_0,0,2
100-300-057.txt.salida_0,0,2
100-300-058.txt.salida_0,0,2
100-300-059.txt.salida_0,0,2
100-300-060.txt.salida_0,0,4
100-300-061.txt.salida_0,0,2
100-300-062.txt.salida_0,0,2
100-300-063.txt.salida_0,0,2
100-300-064.txt.salida_0,0,2
100-300-065.txt.salida_0,0,2
100-300-066.txt.salida_0,0,2
100-300-067.txt.salida_0,0,2
100-300-068.txt.salida_0,0,2
100-300-069.txt.salida_0,0,2
100-300-070.txt.salida_0,0,2
100-300-071.txt.salida_0,0,2
100-300-072.txt.salida_0,0,2
100-300-073.txt.salida_0,0,5
100-300-074.txt.salida_0,0,7
100-300-075.txt.salida_0,0,6
100-300-076.txt.salida_0,0,5
100-300-077.txt.salida_0,0,8
100-300-078.txt.salida_0,0,9
100-300-079.txt.salida_0,0,5
100-300-080.txt.salida_0,0,8
100-300-081.txt.salida_0,0,5
100-300-082.txt.salida_0,0,2
100-300-083.txt.salida_0,0,5
100-300-084.txt.salida_0,0,2
100-300-085.txt.salida_0,0,2
100-300-086.txt.salida_0,0,3
100-300-087.txt.salida_0,0,5
100-300-088.txt.salida_0,0,4
100-300-089.txt.salida_0,0,6
100-300-090.txt.salida_0,0,2
100-300-091.txt.salida_0,0,2
100-300-092.txt.salida_0,0,2
100-300-093.txt.salida_0,0,6
100-300-094.txt.salida_0,0,8
100-300-095.txt.salida_0,0,6
100-300-096.txt.salida_0,0,2
100-300-097.txt.salida_0,0,5
100-300-098.txt.salida_0,0,2
100-300-099.txt.salida_0,0,2
100-300-100.txt.salida_0,0,2
100-600-000.txt.salida_0,0,2
100-600-001.txt.salida_0,0,4
100-600-002.txt.salida_0,0,11
100-600-003.txt.salida_0,0,14
100-600-004.txt.salida_0,0,13
100-600-005.txt.salida_0,0,9
100-600-006.txt.salida_0,0,5
100-600-007.txt.salida_0,0,5
100-600-008.txt.salida_0,0,7
100-600-009.txt.salida_0,0,7
100-600-010.txt.salida_0,0,5
100-600-011.txt.salida_0,0,13
100-600-012.txt.salida_0,0,5
100-600-013.txt.salida_0,0,10
100-600-014.txt.salida_0,0,9
100-600-015.txt.salida_0,0,6
100-600-016.txt.salida_0,0,10
100-600-017.txt.salida_0,0,10
100-600-018.txt.salida_0,0,5
100-600-019.txt.salida_0,0,6
100-600-020.txt.salida_0,0,6
100-600-021.txt.salida_0,0,6
100-600-022.txt.salida_0,0,6
100-600-023.txt.salida_0,0,5
100-600-024.txt.salida_0,0,5
100-600-025.txt.salida_0,0,5
100-600-026.txt.salida_0,0,4
100-600-027.txt.salida_0,0,7
100-600-028.txt.salida_0,0,7
100-600-029.txt.salida_0,0,6
100-600-030.txt.salida_0,0,6
100-600-031.txt.salida_0,0,6
100-600-032.txt.salida_0,0,6
100-600-033.txt.salida_0,0,7
100-600-034.txt.salida_0,0,6
100-600-035.txt.salida_0,0,6
100-600-036.txt.salida_0,0,15
100-600-037.txt.salida_0,0,14
100-600-038.txt.salida_0,0,7
100-600-039.txt.salida_0,0,9
100-600-040.txt.salida_0,0,9
100-600-041.txt.salida_0,0,5
100-600-042.txt.salida_0,0,5
100-600-043.txt.salida_0,0,5
100-600-044.txt.salida_0,0,6
100-600-045.txt.salida_0,0,6
100-600-046.txt.salida_0,0,4
100-600-047.txt.salida_0,0,12
100-600-048.txt.salida_0,0,9
100-600-049.txt.salida_0,0,10
100-600-050.txt.salida_0,0,9
100-600-051.txt.salida_0,0,4
100-600-052.txt.salida_0,0,5
100-600-053.txt.salida_0,0,4
100-600-054.txt.salida_0,0,5
100-600-055.txt.salida_0,0,4
100-600-056.txt.salida_0,0,5
100-600-057.txt.salida_0,0,5
100-600-058.txt.salida_0,0,4
100-600-059.txt.salida_0,0,4
100-600-060.txt.salida_0,0,4
100-600-061.txt.salida_0,0,5
100-600-062.txt.salida_0,0,4
100-600-063.txt.salida_0,0,5
100-600-064.txt.salida_0,0,4
100-600-065.txt.salida_0,0,20
100-600-066.txt.salida_0,0,14
100-600-067.txt.salida_0,0,15
100-600-068.txt.salida_0,0,12
100-600-069.txt.salida_0,0,5
100-600-070.txt.salida_0,0,4
100-600-071.txt.salida_0,0,4
100-600-072.txt.salida_0,0,4
100-600-073.txt.salida_0,0,4
100-600-074.txt.salida_0,0,4
100-600-075.txt.salida_0,0,5
100-600-076.txt.salida_0,0,4
100-600-077.txt.salida_0,0,4
100-600-078.txt.salida_0,0,4
100-600-079.txt.salida_0,0,4
100-600-080.txt.salida_0,0,5
100-600-081.txt.salida_0,0,4
100-600-082.txt.salida_0,0,5
100-600-083.txt.salida_0,0,7
100-600-084.txt.salida_0,0,7
100-600-085.txt.salida_0,0,5
100-600-086.txt.salida_0,0,12
100-600-087.txt.salida_0,0,4
100-600-088.txt.salida_0,0,11
100-600-089.txt.salida_0,0,8
100-600-090.txt.salida_0,0,7
100-600-091.txt.salida_0,0,12
100-600-092.txt.salida_0,0,12
100-600-093.txt.salida_0,0,11
100-600-094.txt.salida_0,0,9
100-600-095.txt.salida_0,0,5
100-600-096.txt.salida_0,0,5
100-600-097.txt.salida_0,0,5
100-600-098.txt.salida_0,0,4
100-600-099.txt.salida_0,0,4
100-600-100.txt.salida_0,0,5
100-800-000.txt.salida_0,0,4
100-800-002.txt.salida_0,0,7
100-800-003.txt.salida_0,0,20
100-800-004.txt.salida_0,0,7
100-800-005.txt.salida_0,0,8
100-800-006.txt.salida_0,0,8
100-800-007.txt.salida_0,0,10
100-800-008.txt.salida_0,0,15
100-800-009.txt.salida_0,0,11
100-800-010.txt.salida_0,0,13
100-800-011.txt.salida_0,0,12
100-800-012.txt.salida_0,0,12
100-800-013.txt.salida_0,0,10
100-800-014.txt.salida_0,0,7
100-800-015.txt.salida_0,0,7
100-800-016.txt.salida_0,0,5
100-800-017.txt.salida_0,0,5
