Archivo,BRKGA,GREEDY,MHT
100-300-001.txt.salida_0,100,62,100
100-300-002.txt.salida_0,100,73,100
100-300-003.txt.salida_0,100,62,99
100-300-004.txt.salida_0,100,63,100
100-300-005.txt.salida_0,100,69,100
100-300-006.txt.salida_0,100,62,100
100-300-007.txt.salida_0,100,67,100
100-300-008.txt.salida_0,100,70,100
100-300-009.txt.salida_0,100,67,100
100-300-010.txt.salida_0,100,69,100
100-300-011.txt.salida_0,100,71,100
100-300-012.txt.salida_0,100,69,100
100-300-013.txt.salida_0,100,56,100
100-300-014.txt.salida_0,100,66,94
100-300-015.txt.salida_0,100,72,99
100-300-016.txt.salida_0,100,62,91
100-300-017.txt.salida_0,100,61,100
100-300-018.txt.salida_0,100,63,100
100-300-019.txt.salida_0,100,68,100
100-300-020.txt.salida_0,100,62,100
100-300-021.txt.salida_0,100,65,100
100-300-022.txt.salida_0,100,68,97
100-300-023.txt.salida_0,100,64,90
100-300-024.txt.salida_0,100,61,98
100-300-025.txt.salida_0,100,62,99
100-300-026.txt.salida_0,100,72,100
100-300-027.txt.salida_0,100,61,100
100-300-028.txt.salida_0,100,72,100
100-300-029.txt.salida_0,100,61,84
100-300-030.txt.salida_0,100,66,95
100-300-031.txt.salida_0,100,69,100
100-300-032.txt.salida_0,100,63,100
100-300-033.txt.salida_0,100,69,100
100-300-034.txt.salida_0,100,67,93
100-300-035.txt.salida_0,100,62,95
100-300-036.txt.salida_0,100,66,97
100-300-037.txt.salida_0,100,66,98
100-300-038.txt.salida_0,100,70,100
100-300-039.txt.salida_0,100,75,100
100-300-040.txt.salida_0,100,73,100
100-300-041.txt.salida_0,100,65,99
100-300-042.txt.salida_0,100,64,100
100-300-043.txt.salida_0,100,60,100
100-300-044.txt.salida_0,100,63,97
100-300-045.txt.salida_0,100,65,99
100-300-046.txt.salida_0,100,57,100
100-300-047.txt.salida_0,100,63,99
100-300-048.txt.salida_0,100,71,96
100-300-049.txt.salida_0,100,64,100
100-300-050.txt.salida_0,100,62,90
100-300-051.txt.salida_0,100,66,99
100-300-052.txt.salida_0,100,70,100
100-300-053.txt.salida_0,100,65,100
100-300-054.txt.salida_0,100,64,93
100-300-055.txt.salida_0,100,69,92
100-300-056.txt.salida_0,100,68,100
100-300-057.txt.salida_0,100,68,100
100-300-058.txt.salida_0,100,68,100
100-300-059.txt.salida_0,100,68,100
100-300-060.txt.salida_0,100,58,97
100-300-061.txt.salida_0,100,64,100
100-300-062.txt.salida_0,100,66,100
100-300-063.txt.salida_0,100,66,100
100-300-064.txt.salida_0,100,65,100
100-300-065.txt.salida_0,100,77,100
100-300-066.txt.salida_0,100,65,98
100-300-067.txt.salida_0,100,64,100
100-300-068.txt.salida_0,100,73,100
100-300-069.txt.salida_0,100,62,96
100-300-070.txt.salida_0,100,59,99
100-300-071.txt.salida_0,100,68,100
100-300-072.txt.salida_0,100,66,98
100-300-073.txt.salida_0,100,64,100
100-300-074.txt.salida_0,100,71,100
100-300-075.txt.salida_0,100,69,100
100-300-076.txt.salida_0,100,69,100
100-300-077.txt.salida_0,100,60,100
100-300-078.txt.salida_0,100,65,100
100-300-079.txt.salida_0,100,66,99
100-300-080.txt.salida_0,100,59,100
100-300-081.txt.salida_0,100,61,98
100-300-082.txt.salida_0,100,64,100
100-300-083.txt.salida_0,100,71,100
100-300-084.txt.salida_0,100,64,99
100-300-085.txt.salida_0,100,68,100
100-300-086.txt.salida_0,100,60,100
100-300-087.txt.salida_0,100,64,94
100-300-088.txt.salida_0,100,71,100
100-300-089.txt.salida_0,100,56,100
100-300-090.txt.salida_0,100,65,93
100-300-091.txt.salida_0,100,65,96
100-300-092.txt.salida_0,100,60,96
100-300-093.txt.salida_0,100,76,100
100-300-094.txt.salida_0,100,65,100
100-300-095.txt.salida_0,100,76,100
100-300-096.txt.salida_0,100,65,100
100-300-097.txt.salida_0,100,60,100
100-300-098.txt.salida_0,100,61,100
100-300-099.txt.salida_0,100,70,99
100-300-100.txt.salida_0,100,64,98
