N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,3.39,0.6339709708805221,100,21.66,16.459451247035407
100,600,0.31,0.4648231987117318,100,22614.72,15220.002414473056
100,800,0.04,0.1969463855669324,100,31456.09,6447.499770829658
200,300,2.73,0.6490863820117715,100,20.99,16.42337272661044
200,600,0.06,0.23868325657594205,100,30801.1,7814.78648512426
200,800,0.0,0.0,100,32765.51,1.1848794849852449
