N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,46.76,2.383105519944913,100,9.24,0.4521553322083513
100,600,8.74,1.1336897835177513,100,8.75,1.0952145677879517
100,800,4.31,0.5448565745851718,100,7.53,2.0959557015906376
200,300,32.77,2.569655874456988,100,9.21,0.6079440431453867
200,600,6.29,0.7148497051899094,100,6.31,2.5572041235092935
200,800,3.32,0.48989794855663554,100,4.44,2.9858927568744926
