N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,36.24,4.981014459977511,100,4.41,2.188560709644121
100,600,26.78,2.7618614715222023,100,8.86,0.6198729097503972
100,800,19.93,2.5236457514452937,100,9.03,0.22270150335361358
200,300,41.62,5.600829664370532,100,6.63,2.2903177848402505
200,600,20.2,2.522624895547565,100,9.06,0.238683256575942
200,800,10.4,1.4494861506789576,100,9.16,0.3684529491774706
