N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,65.68,4.4492196569236215,100,4.42,2.6673483977065073
100,600,69.56,4.481882721276041,100,7.17,3.858756276314947
100,800,71.47,4.071221989138946,100,9.38,5.304429252706619
200,300,124.15,6.407657981515616,100,7.45,3.635890120685301
200,600,129.57,6.29615082026433,100,11.21,4.729650722790845
200,800,132.72,6.728621213468879,100,16.63,6.186748627983731
