N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,65.44,2.6143349966573686,100,31.26,11.308904152538968
100,600,47.62,2.223746951667501,100,56.08,2.6464384299726986
100,800,34.6,2.2962419891481978,100,57.6,1.758098145983066
200,300,89.06,3.5952269143486006,100,44.24,5.210944194091833
200,600,42.04,2.628207516060091,100,58.5,1.25930877304122
200,800,20.7,2.231546096274504,100,58.24,1.5898669025037202
