N,M,score_mean,score_std,instance_count,time_mean,time_std
100,300,35.11,3.369185976079999,100,7.37,1.6856794332004978
100,600,20.07,3.629995686893951,100,7.9,1.1146408580454257
100,800,12.17,3.3425780892640766,100,7.07,2.10461253901851
200,300,34.36,3.8625892817637184,100,7.52,1.4318173801504888
200,600,11.51,2.96271442560311,100,6.07,2.4298439073614206
200,800,6.73,2.2104206830283673,100,4.78,2.1347533152970435
